date;Afghanistan;Albania;Algeria;Andorra;Angola;Antigua and Barbuda;Argentina;Armenia;Australia;Austria;Azerbaijan;Bahamas;Bahrain;Bangladesh;Egypt;El Salvador;Equatorial Guinea;Eritrea;Estonia;Eswatini;Ethiopia;Fiji;Finland;France;Gabon;Gambia;Georgia;Germany;India;Indonesia;Iran;Kuwait;Kyrgyzstan;Laos;Latvia;Lebanon;Lesotho;Liberia;Libya;Liechtenstein;Lithuania;Switzerland;Syria;Tajikistan;Tanzania;Thailand;Timor-Leste;Togo;Trinidad and Tobago;Tunisia;Turkey;US;Uganda;Ukraine;United Arab Emirates;United Kingdom;Zambia;Zimbabwe;Barbados;Belarus;Dominica;Dominican Republic;Ecuador;Ghana;Greece;Grenada;Guatemala;Guinea;Guinea-Bissau;Poland;Portugal;Qatar;Romania;Russia;Rwanda;Saint Kitts and Nevis;Saint Lucia;Saint Vincent and the Grenadines;San Marino;Sao Tome and Principe;Saudi Arabia;Senegal;Serbia;Seychelles;Sierra Leone;Singapore;Slovakia;Slovenia;Somalia;South Africa;Spain;Sri Lanka;Sudan;Suriname;Sweden;Uruguay;Uzbekistan;Venezuela;Vietnam;West Bank and Gaza;Western Sahara;Yemen;Nigeria;North Macedonia;Norway;Oman;Pakistan;Brazil;Afghanistan_fitted;Albania_fitted;Algeria_fitted;Andorra_fitted;Angola_fitted;Antigua and Barbuda_fitted;Argentina_fitted;Armenia_fitted;Australia_fitted;Austria_fitted;Azerbaijan_fitted;Bahamas_fitted;Bahrain_fitted;Bangladesh_fitted;Egypt_fitted;El Salvador_fitted;Equatorial Guinea_fitted;Eritrea_fitted;Estonia_fitted;Eswatini_fitted;Ethiopia_fitted;Fiji_fitted;Finland_fitted;France_fitted;Gabon_fitted;Gambia_fitted;Georgia_fitted;Germany_fitted;India_fitted;Indonesia_fitted;Iran_fitted;Kuwait_fitted;Kyrgyzstan_fitted;Laos_fitted;Latvia_fitted;Lebanon_fitted;Lesotho_fitted;Liberia_fitted;Libya_fitted;Liechtenstein_fitted;Lithuania_fitted;Switzerland_fitted;Syria_fitted;Tajikistan_fitted;Tanzania_fitted;Thailand_fitted;Timor-Leste_fitted;Togo_fitted;Trinidad and Tobago_fitted;Tunisia_fitted;Turkey_fitted;US_fitted;Uganda_fitted;Ukraine_fitted;United Arab Emirates_fitted;United Kingdom_fitted;Zambia_fitted;Zimbabwe_fitted;Barbados_fitted;Belarus_fitted;Dominica_fitted;Dominican Republic_fitted;Ecuador_fitted;Ghana_fitted;Greece_fitted;Grenada_fitted;Guatemala_fitted;Guinea_fitted;Guinea-Bissau_fitted;Poland_fitted;Portugal_fitted;Qatar_fitted;Romania_fitted;Russia_fitted;Rwanda_fitted;Saint Kitts and Nevis_fitted;Saint Lucia_fitted;Saint Vincent and the Grenadines_fitted;San Marino_fitted;Sao Tome and Principe_fitted;Saudi Arabia_fitted;Senegal_fitted;Serbia_fitted;Seychelles_fitted;Sierra Leone_fitted;Singapore_fitted;Slovakia_fitted;Slovenia_fitted;Somalia_fitted;South Africa_fitted;Spain_fitted;Sri Lanka_fitted;Sudan_fitted;Suriname_fitted;Sweden_fitted;Uruguay_fitted;Uzbekistan_fitted;Venezuela_fitted;Vietnam_fitted;West Bank and Gaza_fitted;Western Sahara_fitted;Yemen_fitted;Nigeria_fitted;North Macedonia_fitted;Norway_fitted;Oman_fitted;Pakistan_fitted;Brazil_fitted
4/11/20;555;433;1825;601;19;21;1975;967;6303;13806;1058;46;1040;482;1939;118;18;34;1304;12;69;16;2905;94863;46;9;242;124908;8446;3842;70029;1154;339;18;630;619;0;48;24;79;1026;25107;25;0;32;2518;2;76;112;685;52167;527969;53;2511;3736;90273;40;14;68;2226;16;2759;7257;408;2081;14;137;250;38;6356;15987;2728;5990;13584;120;12;15;12;356;4;4033;278;3380;11;8;2299;728;1188;21;2028;163027;198;19;10;10151;501;767;175;258;268;4;1;318;760;6409;546;5230;20727;555.0;433.0;1825.0;601.0;19.0;21.0;1975.0;967.0;6303.0;13806.0;1058.0;46.0;1040.0;482.0;1939.0;118.0;18.0;34.0;1304.0;12.0;69.0;16.0;2905.0;94863.0;46.0;9.0;242.0;124908.0;8446.0;3842.0;70029.0;1154.0;339.0;18.0;630.0;619.0;0.0;48.0;24.0;79.0;1026.0;25107.0;25.0;0.0;32.0;2518.0;2.0;76.0;112.0;685.0;52167.0;527969.0;53.0;2511.0;3736.0;90273.0;40.0;14.0;68.0;2226.0;16.0;2759.0;7257.0;408.0;2081.0;14.0;137.0;250.0;38.0;6356.0;15987.0;2728.0;5990.0;13584.0;120.0;12.0;15.0;12.0;356.0;4.0;4033.0;278.0;3380.0;11.0;8.0;2299.0;728.0;1188.0;21.0;2028.0;163027.0;198.0;19.0;10.0;10151.0;501.0;767.0;175.0;258.0;268.0;4.0;1.0;318.0;760.0;6409.0;546.0;5230.0;20727.0
4/12/20;607;446;1914;638;19;21;2142;1013;6315;13945;1098;46;1136;621;2065;125;21;34;1309;14;71;16;2974;121712;49;9;257;127854;9205;4241;71686;1234;377;19;651;630;0;50;25;79;1053;25415;25;0;32;2551;2;76;113;707;56956;556522;54;2777;4123;93812;43;14;71;2578;16;2967;7466;566;2114;14;155;250;38;6674;16585;2979;6300;15770;126;12;15;12;356;4;4462;280;3630;11;10;2532;742;1205;25;2173;166831;210;19;10;10483;480;865;181;262;271;6;1;323;828;6525;599;5496;22192;586.2085890276073;443.06104534976595;1876.9216720641432;604.8111762321536;19.721256573431717;21.256611584268956;2064.5702384975584;1010.5283901640566;6356.900818811712;13858.636068072628;1099.2101751863665;47.13813159161644;1081.4781063839218;516.4168404692908;2035.1860556339725;124.05241841037868;19.085266232314325;34.74758502934932;1315.0024751373296;12.604645724335143;72.63342396092222;16.06886797462208;2958.7013004093105;96365.50493629623;48.804797988937764;9.383570334381652;247.3283030730009;125985.4982999319;8899.880563176124;3980.585048551717;71211.91654004465;1210.88721918876;356.4404157842936;18.017786730982927;637.2395287439632;631.1841500933547;0.0;49.87432354356858;25.146077436366102;79.07541327109519;1035.7946869343862;25242.278253301112;25.82561193124165;0.0;33.54958178317089;2530.4286187539233;2.088893143645468;77.93412414824958;112.90902538274483;690.5026792088108;53609.744459710695;540570.1101334641;54.979059259061934;2607.385289662686;3883.6414713706286;93153.47156136831;41.89388758200364;14.733761164326024;68.37998291134782;2338.6896660871075;16.023065815444276;2852.451788801266;7476.41916427554;428.2840867345648;2097.8328718457806;14.158738480573037;146.20842974551968;260.73833484149685;40.05122507291356;6511.903579329968;16238.076723659413;2870.2954527525994;6106.564748053902;14356.526479530492;123.55860879035268;12.066330176466254;15.062918898348888;12.152255348879219;361.4371108164935;4.269797432357839;4247.639870835017;290.0453533312519;3453.9384544503155;11.245406870527514;8.39364371352225;2403.0340141274837;737.1639711799323;1194.099715821696;22.415524165229954;2146.3345323825984;164087.33078398724;205.23842733893423;20.477505512335043;10.485517995185612;10447.431429221428;505.1295577389125;792.4712467884608;184.33676942509723;260.02738831051335;279.02036434548774;4.035576178091989;1.0847925121789888;338.25307932900694;781.8555546370667;6448.864429636758;580.094190070334;5503.678855531144;21929.03302155476
4/13/20;665;467;1983;646;19;23;2208;1039;6351;14041;1148;47;1361;803;2190;137;21;34;1332;15;74;16;3064;125394;57;9;272;130072;10453;4557;73303;1300;419;19;655;632;0;59;26;79;1062;25688;25;0;49;2579;4;77;113;726;61049;581813;54;3102;4521;98017;45;17;72;2919;16;3167;7529;566;2145;14;156;319;38;6934;16934;3231;6633;18328;127;12;15;12;356;4;4934;291;4054;11;10;2918;769;1212;60;2272;170099;217;29;10;10948;483;998;189;265;273;6;1;343;854;6603;727;5837;23430;619.1587133084334;453.35433994303384;1930.2905521718933;608.6257681061377;20.469856031501045;21.516357668708075;2158.1898212141696;1055.9897115231172;6411.262576504134;13911.472238722894;1141.9972093320391;48.30442280856133;1124.5921251914378;553.2884862662964;2136.0889689542933;130.41437746035055;20.23582682412485;35.51072277636855;1326.0216815308868;13.239727872628988;76.45802801109919;16.137989173415402;3013.103122565227;97882.57610116262;51.78008596271724;9.783472380432949;252.75878149836382;127065.31389710853;9378.101964179308;4124.091464248587;72412.2610487547;1270.5539546096404;374.76370347135526;18.035591002208086;644.5190544628258;643.6081273611005;0.0;51.82027758671397;26.34685916939989;79.15089847828006;1045.6446201671658;25377.337692835372;26.67848924769267;0.0;35.17203001788711;2542.8200597317814;2.181583881856829;79.91635033258358;113.82542866207326;696.0495502337003;55085.80842682783;553450.8821424078;57.030485778511384;2707.409757604125;4036.916527518591;96104.45390061136;43.87731785478456;15.505938926446351;68.76196360866633;2456.987317528666;16.046072244916534;2949.015915088876;7702.168707131263;449.57089593027894;2114.8016160811403;14.318048613258995;156.03401665869566;271.92993018814667;42.2121436764991;6671.352638645305;16492.190586971235;3019.9158033984186;6225.39739234486;15172.539451521567;127.22007698874518;12.132564645647934;15.126100934549395;12.306441421919052;366.91831089033815;4.557751672582455;4473.607427049436;302.60545975744265;3529.3966391229683;11.496156483594204;8.80664032430737;2511.664935328488;746.4288092504815;1200.230699119829;23.926171315039568;2271.5583256925556;165152.49775351596;212.73117639345188;22.069816362212617;10.994587650714156;10751.855474816652;509.293091533754;818.7825961467097;194.16562638262977;262.0707050065909;290.488669374875;4.071464238841115;1.1767728044581325;359.7756389927994;804.3199327191576;6488.7152415969695;616.2972814490043;5791.52391066091;23200.37609465343
4/14/20;714;475;2070;659;19;23;2277;1067;6415;14226;1197;49;1528;1012;2350;149;41;34;1373;15;82;16;3161;130365;57;9;300;131359;11487;4839;74877;1355;430;19;657;641;0;59;35;79;1070;25936;29;0;53;2613;6;77;113;747;65111;608878;55;3372;4933;102365;45;17;72;3281;16;3286;7603;636;2170;14;167;363;38;7202;17448;3428;6879;21102;134;14;15;12;371;4;5369;299;4465;11;11;3252;835;1220;60;2415;172541;233;32;10;11445;492;1165;189;266;284;6;1;373;908;6623;813;6383;25262;653.9460054918343;463.8851731109482;1985.145235614592;612.4434057537857;21.2468321190034;21.77927651315072;2256.0406186607647;1103.4673515053219;6466.089214758604;13964.509268388252;1186.4191754865265;49.499570391761786;1169.4050788142165;592.7896283890427;2241.9344819846956;137.10161330530588;21.455592836368265;36.28969650242199;1337.0558550745218;13.906775424605412;80.48385511978088;16.207364128052586;3068.202162896196;99414.01874704106;54.93616052097408;10.200400152961405;258.29268195567084;128147.29498308715;9881.96399695159;4272.688288114292;73630.19988342468;1333.1335037683903;394.0130295386038;18.05341283104915;651.8375575657091;656.276652433737;0.0;53.84047439711562;27.604953904423365;79.22645568785714;1055.549236711138;25512.16231774127;27.559532390947133;0.0;36.87055331634421;2555.172706260585;2.2782202947931816;81.94781660396332;114.74926972991348;701.6409678145773;56595.57293017698;566616.5153946083;59.15680819769697;2811.2060389445796;4196.023738944957;99126.19017017716;45.954512033020784;16.31854017640717;69.1459511473573;2581.161926217557;16.069018804761047;3048.7923589589195;7934.4123131651995;471.90941178540214;2131.9073248067543;14.477895391718882;166.51787472743666;283.59321226443006;44.488507168396694;6834.413586124473;16749.34694577555;3177.2276471568857;6346.542040640966;16034.434428992567;130.98721517683987;12.198695274420203;15.189547202898096;12.46258267556801;372.4425001058557;4.865078924069619;4711.490015047229;315.7016800097369;3606.401364997637;11.752359127372948;9.239939626071134;2625.08554666141;755.7952363581895;1206.3931096214274;25.538292985593106;2404.0705873157463;166222.4934183624;220.486403931382;23.785838518680325;11.528349322531929;11064.44722397104;513.4908798921178;845.9613657827128;204.5118395458634;264.1300751968638;302.4226816192345;4.107666834941591;1.2765498271929445;382.64455363924986;827.4089312707061;6528.5475579748145;654.7371293448275;6094.251740466494;24544.97794084723
4/15/20;784;494;2160;673;19;23;2443;1111;6440;14336;1253;49;1671;1231;2505;159;51;35;1400;15;85;16;3237;133585;80;9;306;134753;12322;5136;76389;1405;449;19;666;658;0;59;48;79;1091;26336;33;0;88;2643;8;81;114;780;69392;637974;55;3764;5365;107465;48;23;73;3728;16;3614;7858;636;2192;14;180;404;43;7582;18091;3711;7216;24490;136;14;15;12;372;4;5862;314;4873;11;13;3699;863;1248;80;2506;177644;238;32;10;11927;493;1302;197;267;291;6;1;407;974;6740;910;6919;28320;690.6711701799339;474.6589512552184;2041.5252438122975;616.2637141348463;22.05325739473476;22.04540684235987;2358.312562832844;1153.048069323488;6521.384709095404;14017.747916215183;1232.5361037588955;50.72428830523136;1215.9822948825374;635.1073301064324;2352.9585758414482;144.13065246267524;22.748707518077673;37.08479276916544;1348.1031979051713;14.607393885568952;84.72147436439795;16.276993367334946;3123.99447448145;100959.62376297703;58.28393184441015;10.635077037119002;263.9312309131089;129231.28682156104;10412.83527507103;4426.549946055952;74865.89762605801;1398.7653022877769;414.2335089580851;18.071252234904886;659.193979591309;669.1945390234339;0.0;55.937611443741346;28.923094530926164;79.3020849696601;1065.5079497118977;25646.73600909734;28.46967152261639;0.0;38.648479657357946;2567.4849331712235;2.378954916084876;84.02968484042069;115.68060895306189;707.277289509395;58139.398805918805;580072.2579625028;61.360634473115766;2918.91122830135;4361.167329716036;102218.8083941258;48.12988906446904;17.173676231512967;69.53195460668657;2711.4943105105067;16.091905011197557;3151.8840560839917;8173.3167048029645;495.3509525708504;2149.1510988180225;14.638242766806428;177.70382243003633;295.74729427566444;46.88635577662442;7001.153331314902;17009.54992111346;3342.6148049407757;6470.043657921869;16944.732758003775;134.86290080184122;12.26471385755036;15.25325880180597;12.620703874460414;378.00851655687063;5.193076079548383;4961.904296418245;329.35620492663395;3684.979711996679;12.014127090547126;9.694537847778383;2743.4957499485945;765.2639687967277;1212.587107890309;27.25865917465834;2544.29343263066;167297.30972231584;228.51246885799293;25.63516648241017;12.087998360998766;11385.383083514835;517.7232035853308;874.0357354941398;215.40190166843615;266.2056249592382;314.8408355777131;4.1441866400835305;1.3847840560742957;406.9409958660822;851.1386876998586;6568.35644601072;695.5490061754228;6412.613375808995;25967.00657502791
4/16/20;840;518;2268;673;19;23;2571;1159;6462;14476;1283;53;1700;1572;2673;164;51;35;1434;16;92;17;3369;146075;80;9;348;137698;13430;5516;77995;1524;466;19;675;663;0;59;49;79;1128;26732;33;0;94;2672;18;81;114;822;74193;669272;55;4161;5825;112808;48;23;75;4204;16;3755;8225;641;2207;14;196;438;43;7918;18841;4103;7707;27938;138;14;15;12;426;4;6380;335;5318;11;15;4427;977;1268;80;2605;184948;238;32;10;12540;502;1349;204;268;294;6;1;442;1081;6896;1019;7025;30425;729.4402317866088;485.68120025178376;2099.471043446595;620.0863130532285;22.89024479540565;22.31478785306518;2465.203988335896;1204.8221095271265;6577.153068947715;14071.1889441874;1280.4100334719576;51.97930817773671;1264.3914806898638;680.4418960663216;2469.407869964132;151.51884990218227;24.119559706608925;37.89630138610011;1359.1618785908945;15.343269031926434;89.18200784467784;16.34687741715154;3180.475443678787;102519.16737100495;61.83495902167593;11.088257016974008;269.67563264260764;130317.1317735412;10972.15676950651;4585.856386704058;76119.51699538504;1467.5951816885877;435.47227492565753;18.089109231024477;666.5872227910143;682.3666953567215;0.0;58.114473314123536;30.30414402138063;79.37778639233272;1075.5201490500474;25781.04253211874;29.4098675252645;0.0;40.50925844475574;2579.755107154472;2.483944744327196;86.1631411614767;116.61950718857051;712.9588757418506;59717.624884667064;593823.4045722758;63.64465365442594;3030.6669982393655;4532.557222453171;105382.3135995876;50.408074895094515;18.073568124439248;69.91998308975303;2848.277539065099;16.11473038053248;3258.3969703157654;8419.051618902395;519.9492744340204;2166.53404768119;14.799053645463697;189.63855571174457;308.4119957268575;49.41203151304717;7171.639245850847;17272.80235405017;3516.479002593259;6595.9480787777875;17906.087484871045;138.8500791238502;12.330612121045611;15.317236834182705;12.780830096158827;383.6151353601054;5.543125929950425;5225.497570925749;343.59208180249965;3765.1590210683453;12.281574678306933;10.171479923942433;2867.1027322603695;774.8357168247338;1218.812855303038;29.09448506072023;2692.673171693966;168376.9382402028;236.8179324573715;27.62813617127018;12.674787762689277;11714.840610696872;521.9903456687963;903.0347726724443;226.86358066682666;268.2974813595169;327.7622548856853;4.181026349189116;1.5021918466050432;432.750628532531;875.525683347319;6608.136918834692;738.8759852831762;6747.395751057675;27470.86074275811
4/17/20;906;539;2418;696;19;23;2669;1201;6522;14595;1340;54;1740;1838;2844;177;79;35;1459;16;96;17;3489;148084;108;9;370;141397;14352;5923;79494;1658;489;19;682;668;0;76;49;79;1149;27078;38;0;147;2700;18;83;114;864;78546;701996;56;4662;6302;117798;52;24;75;4779;16;4126;8450;641;2224;14;214;477;43;8379;19022;4663;8067;32008;143;14;15;12;435;4;7142;342;5690;11;26;5050;1049;1304;116;2783;190839;244;33;10;13216;508;1405;204;268;307;6;1;493;1117;6937;1069;7638;33682;770.3647885560327;496.95756793821965;2159.0240606356865;623.9108172073908;23.758949018402227;22.5874592200111;2576.9219952136236;1258.8833189675843;6633.398337974906;14124.833117136324;1330.1050629299198;53.265379746968684;1314.7027990574022;729.0077960921518;2591.5400398778856;159.28442964933348;25.572798188077815;38.72451532254142;1370.2300323453887;16.11617089792962;93.87715959526562;16.417016800453133;3237.639765026067;104092.41089368633;65.60148773768339;11.560725977899319;275.5270661857126;131404.66930945992;11561.445580755008;4750.793221278651;77391.218619481;1539.7756287783088;457.778550072651;18.106983836685913;674.0161498461201;695.7981258246749;0.0;60.37393360420852;31.751101535388994;79.45356002458465;1085.585200323034;25915.06553688433;30.381113024890833;0.0;42.45646245001902;2591.9815870980938;2.5933512245011126;88.34939626385443;117.56602578730916;718.6860898249722;61330.56612333984;607875.2945434544;66.01163759101601;3146.6197189125437;4710.409073517732;108616.57965165006;52.79391195085992;19.020552283481553;70.31004572333313;2991.817343810738;16.13749442919882;3368.4401595733552;8671.789776360916;545.7606810472047;2184.057289841213;14.960289890617087;202.3718315617301;321.60786262931157;52.07219173258637;7345.939120138136;17539.105760170383;3699.2405744722555;6724.302032821511;18921.289456968447;142.9517641563791;12.39638172487417;15.381482407493552;12.942986735110571;389.26106793415806;5.91670276459267;5502.9491668147;358.4332421382855;3846.9668861410864;12.554818246756714;10.6718618473611;2996.1211314488023;784.5111840656274;1225.0705140589853;31.053459638361428;2849.681666405179;169461.3699032173;245.4115581457092;29.775881643174984;13.290030914752647;12052.998326053425;526.2925915101574;932.98845760224;238.92597197428128;270.4057724619913;341.20677490193464;4.218188678550675;1.6295501464435465;460.1637988095343;900.5867462210766;6647.883936255776;784.8693426015572;7099.423212330301;29061.1819394799
4/18/20;933;548;2534;704;24;23;2758;1248;6568;14671;1373;55;1773;2144;3032;190;79;39;1512;22;105;17;3681;148086;108;9;388;143342;15722;6248;80868;1751;506;19;712;672;0;76;49;79;1239;27404;38;0;147;2733;18;84;114;864;82329;730337;55;5106;6302;122534;57;25;75;5297;16;4335;9022;834;2235;14;235;518;46;8742;19685;5008;8418;36793;144;14;15;12;455;4;8274;350;5994;11;30;5992;1089;1317;135;3034;191726;254;66;10;13822;517;1490;227;268;313;6;1;542;1170;7036;1180;8348;36658;813.5622867014463;508.49382667984736;2220.2266971398203;627.736836228486;24.66056811819748;22.863461105372316;2693.6828259900594;1315.3292655993257;6690.1245945480405;14178.68120273839;1381.6874012707053;54.583271301209834;1366.9889436828246;781.0346507023276;2719.624242908441;167.44652746173423;27.11334682352177;39.56973067000622;1381.3057612446294;16.92795795965357;98.81924607493481;16.4874120371813;3295.4814286252827;105679.10047342707;69.59648937208654;12.053303022832715;281.4866835553021;132493.73603654033;12182.298912268732;4921.551866255864;78681.16084897234;1615.46606390601;481.2037176095602;18.124876069184165;681.4795835192008;709.4939340579215;0.0;62.71895680985787;33.26710891461003;79.52940593519027;1095.7024430319163;26048.78856241336;31.38443339845171;0.0;44.49378945695664;2604.162724474147;2.707340223899713;90.58968567180906;118.52022659805823;724.4592979863271;62978.51167256806;622233.3096433006;68.46444267995615;3266.920579718374;4894.9442943652;111921.34104561462;55.292469170703534;20.0170864887395;70.70215165770621;3142.432529766224;16.160196673890333;3482.1258473289226;8931.706844480257;572.844138134777;2201.7219527007505;15.121912321289537;215.95666218213387;335.35618748070107;54.87382312580707;7524.121117187214;17808.460283258813;3891.3391755641683;6855.153158831672;19993.273509644558;147.1710395592896;12.46201426304099;15.445996633710129;13.107199506648922;394.94496104429874;6.315378216646756;5794.971871047146;373.9045294991347;3930.4311457177864;12.83397622506259;11.196833149621275;3130.7731921902177;794.2910669705643;1231.3602471766008;33.1437749115668;3015.817757746022;170550.5952041777;254.30231078268318;32.09039590066246;13.935104488955092;12400.035524850688;530.6302288109355;963.9277104374631;251.61955183495024;272.53062733595397;355.19496548374167;4.255676366010158;1.7677016026632533;489.27573301012217;926.3390532035901;6687.592405595307;833.6889768521194;7469.559056362678;30742.86706256752
4/19/20;996;562;2629;713;24;23;2839;1291;6610;14749;1398;55;1881;2456;3144;201;79;39;1528;22;108;17;3783;153011;109;10;394;145184;17615;6575;82211;1915;554;19;727;673;0;91;51;81;1298;27740;39;0;170;2765;19;84;114;879;86306;756375;55;5449;6781;126394;61;25;75;5807;16;4680;9468;1042;2235;14;257;579;50;9287;20206;5448;8746;42853;147;14;15;12;461;4;9362;367;6318;11;35;6588;1161;1330;164;3158;198674;271;66;10;14385;528;1565;256;268;319;6;1;627;1207;7078;1266;8418;38654;859.1562926252949;520.2958758577569;2283.12234633663;631.5639746825061;25.59634511113378;23.14283415573951;2815.712256037117;1374.2613584922829;6747.335951922966;14232.733971555414;1435.2254193125207;55.933770118684784;1421.3252195511282;836.7683104837081;2853.9415469345986;176.02523395756248;28.746419656368236;40.43224654602206;1392.3871345306263;17.78058157163808;104.02122753567278;16.558063644220653;3353.9936875233875;107278.96682579078;73.8337015763201;12.566841878072408;287.5556071282111;133584.16571842856;12836.398044366011;5098.329685643153;79989.49963815151;1694.8331214959946;505.8013924642704;18.142785945830752;688.9763063644012;723.459324227089;0.0;65.15260015817283;34.855457510033254;79.60532419298907;1105.871193137908;26182.19504493097;32.42088788367847;0.0;46.6250635525665;2616.2968637083377;2.8260819870721474;92.8852701221615;119.48217197157457;730.2788693904648;64661.722850525395;636902.8712642764;71.00601156022229;3391.725710118581;5086.390062571825;115296.18466070072;57.9090524544574;21.065756132823083;71.09631006604359;3300.455384404269;16.18283663157033;3599.5694925527873;9198.98139042642;601.2613882077907;2219.5291725243437;15.28388071512115;230.4495210708009;349.6790291085735;57.824255732289316;7706.25372232467;18080.86464886502;4093.23449719711;6988.55001838691;21125.124950501355;151.51105948696426;12.527501265680415;15.510780629401426;13.273494451323613;400.66539603363685;6.7408275257916;6102.313377866232;390.0317276806324;4015.57987204782;13.119169127059036;11.747599493569469;3271.2889163407967;804.1760545502981;1237.6822184986652;35.37415843505161;3191.608771795389;171644.60407788705;263.49935531266635;34.58459777792928;14.61145146168364;12756.132057106048;535.003547581536;995.8844185591779;264.9762317228665;274.67217606260607;369.74815420674696;4.293492171290205;1.9175601025426285;520.1867307131819;952.8001323572463;6727.257182680068;885.5038304572281;7858.7070841614695;32521.081391587268
4/20/20;1026;584;2718;717;24;23;2941;1339;6623;14795;1436;60;1907;2948;3333;218;79;39;1535;24;111;18;3868;155393;120;10;402;147065;18539;6760;83505;1995;568;19;739;677;0;99;51;81;1326;27944;39;0;254;2792;22;84;114;884;90980;783716;56;5710;7265;131260;65;25;75;6264;16;4964;10128;1042;2245;14;289;622;50;9593;20863;6015;8936;47121;147;15;15;12;462;4;10484;377;6630;11;43;8014;1173;1335;237;3300;200210;304;107;10;14777;535;1627;256;268;329;6;1;665;1225;7156;1410;9565;40743;907.2767802106885;532.3697444974434;2347.755408920091;635.391832129789;26.56756964728978;23.425619507310017;2943.2459790441535;1435.7849677700206;6805.036558538109;14286.992197004596;1490.7896997968533;57.31768294431985;1477.7896237049433;896.4719604763887;2994.7853734372634;185.04163987522654;30.477538778865526;41.31236504012978;1403.4721888579784;18.67609032554813;109.49673999965516;16.62897213537456;3413.169026387269;108891.7250030043;78.32767472766253;13.102232338091586;293.73492693609757;134675.78930205147;13525.512815040298;5281.3301336672;81316.38838075503;1778.0509346539825;531.627492061398;18.160713483954172;696.5050604620136;737.6996024506467;0.0;67.67801536776278;36.51959516853139;79.6813148668861;1116.0907414709484;26315.26831774291;33.491570735653674;0.0;48.85423619204145;2628.382342572779;2.9497510637096895;95.23743584573528;120.45192476466904;736.1451762045691;66380.43110732114;651889.4379889392;73.63937475442727;3521.196300244077;5284.979312135467;118740.54152874528;60.649215554874104;22.169280428079638;71.49253014433577;3466.2320792430855;16.205413819292833;3720.8898592778028;9473.794830213601;631.0770699752027;2237.4800945667143;15.446153816597429;245.91056085086421;364.59923239696496;60.931177820651186;7892.405689157509;18356.316117116883;4305.40700686085;7124.5421173021305;22320.086192011087;155.97504949868417;12.592834203263081;15.575835515710727;13.441897938598416;406.4208880571929;7.194836367865236;6425.757854726517;406.84158893127557;4102.441362088406;13.410519579440663;12.325425378798165;3417.9062052300837;814.1668280199419;1244.036592696973;37.753907719943435;3377.61210323022;172743.38593572276;273.01205486392604;37.27240122153172;15.320584265703069;13121.468096674158;539.4128401749081;1028.8914645202708;279.029413549958;276.8305497484813;384.8884499005143;4.33163887565303;2.08011677477243;553.0023566320554;979.9878647913223;6766.8730725310725;940.492334216779;8267.813248472621;34401.27234388987
