date;Germany;US;India;Brazil;Spain;Japan
1/22/20;0;1;0;0;0;2
1/23/20;0;1;0;0;0;2
1/24/20;0;2;0;0;0;2
1/25/20;0;2;0;0;0;2
1/26/20;0;5;0;0;0;4
1/27/20;1;5;0;0;0;4
1/28/20;4;5;0;0;0;7
1/29/20;4;5;0;0;0;7
1/30/20;4;5;1;0;0;11
1/31/20;5;7;1;0;0;15
2/1/20;8;8;1;0;1;20
2/2/20;10;8;2;0;1;20
2/3/20;12;11;3;0;1;20
2/4/20;12;11;3;0;1;22
2/5/20;12;11;3;0;1;23
2/6/20;12;11;3;0;1;23
2/7/20;13;11;3;0;1;23
2/8/20;13;11;3;0;1;24
2/9/20;14;11;3;0;2;24
2/10/20;14;11;3;0;2;26
2/11/20;16;12;3;0;2;27
2/12/20;16;12;3;0;2;28
2/13/20;16;13;3;0;2;33
2/14/20;16;13;3;0;2;43
2/15/20;16;13;3;0;2;54
2/16/20;16;13;3;0;2;60
2/17/20;16;13;3;0;2;67
2/18/20;16;13;3;0;2;79
2/19/20;16;13;3;0;2;85
2/20/20;16;13;3;0;2;95
2/21/20;16;15;3;0;2;112
2/22/20;16;15;3;0;2;137
2/23/20;16;15;3;0;2;149
2/24/20;16;15;3;0;2;160
2/25/20;17;15;3;0;6;173
2/26/20;27;15;3;1;13;192
2/27/20;46;16;3;1;15;218
2/28/20;48;16;3;1;32;236
2/29/20;79;24;3;2;45;245
3/1/20;130;30;3;2;84;259
3/2/20;159;53;5;2;120;278
3/3/20;196;73;5;2;165;298
3/4/20;262;104;28;4;222;333
3/5/20;482;174;30;4;259;365
3/6/20;670;222;31;13;400;420
3/7/20;799;337;34;13;500;466
3/8/20;1040;451;39;20;673;499
3/9/20;1176;519;43;25;1073;527
3/10/20;1457;711;56;31;1695;585
3/11/20;1908;1109;62;38;2277;640
3/12/20;2078;1561;73;52;2277;696
3/13/20;3675;2157;82;151;5232;733
3/14/20;4585;2870;102;151;6391;795
3/15/20;5795;2968;113;162;7798;826
3/16/20;7272;4360;119;200;9942;843
3/17/20;9257;6141;142;321;11748;893
3/18/20;12327;8917;156;372;13910;928
3/19/20;15320;14157;194;621;17963;968
3/20/20;19848;19479;244;793;20410;1022
3/21/20;22213;25825;330;1021;25374;1059
3/22/20;24873;33761;396;1546;28768;1104
3/23/20;29056;43850;499;1924;35136;1144
3/24/20;32986;54112;536;2247;39885;1217
3/25/20;37323;66055;657;2554;49515;1314
3/26/20;43938;84091;727;2985;57786;1416
3/27/20;50871;102276;887;3417;65719;1530
3/28/20;57695;122069;987;3904;73235;1728
3/29/20;62095;141205;1024;4256;80110;1907
3/30/20;66885;162707;1251;4579;87956;2001
3/31/20;71808;188724;1397;5717;95923;2255
4/1/20;77872;214205;1998;6836;104118;2535
4/2/20;84794;244610;2543;8044;112065;2818
4/3/20;91159;276547;2567;9056;119199;3154
4/4/20;96092;309699;3082;10360;126168;3525
4/5/20;100123;337573;3588;11130;131646;3876
4/6/20;103374;367215;4778;12161;136675;4110
4/7/20;107663;397992;5311;14034;141942;4485
4/8/20;113296;429686;5916;16170;148220;5020
4/9/20;118181;464442;6725;18092;153222;5614
4/10/20;122171;497943;7598;19638;158273;6250
4/11/20;124908;527969;8446;20727;163027;6951
4/12/20;127854;556522;9205;22192;166831;7473
4/13/20;130072;581813;10453;23430;170099;7773
4/14/20;131359;608878;11487;25262;172541;8277
4/15/20;134753;637974;12322;28320;177644;8835
4/16/20;137698;669272;13430;30425;184948;9398
4/17/20;141397;701996;14352;33682;190839;9958
4/18/20;143342;730337;15722;36658;191726;10548
4/19/20;145184;756375;17615;38654;198674;10914
4/20/20;147065;783716;18539;40743;200210;11258
4/21/20;148291;809318;20080;43079;204178;11641
4/22/20;150648;837422;21370;45757;208389;12037
4/23/20;153129;871617;23077;50036;213024;12469
4/24/20;154999;907908;24530;54043;202990;12854
4/25/20;156513;940829;26283;59324;205905;13186
4/26/20;157770;968518;27890;63100;207634;13405
4/27/20;158758;990983;29451;67446;209465;13576
4/28/20;159912;1015518;31324;73235;210773;13860
4/29/20;161539;1043038;33062;79685;212917;14076
4/30/20;163009;1072667;34863;87187;213435;14284
5/1/20;164077;1106829;37257;92202;215216;14558
5/2/20;164967;1136024;39699;97100;216582;14861
5/3/20;165664;1161611;42505;101826;217466;15061
5/4/20;166152;1184086;46437;108620;218011;15229
5/5/20;167007;1208271;49400;115455;219329;15354
5/6/20;168162;1233527;52987;126611;220325;15455
5/7/20;169430;1261409;56351;135773;221447;15553
5/8/20;170588;1288587;59695;146894;222857;15640
5/9/20;171324;1314320;62808;156061;223578;15755
5/10/20;171879;1334084;67161;162699;224350;15824
5/11/20;172576;1352962;70768;169594;227436;15861
5/12/20;173171;1375152;74292;178214;228030;15948
5/13/20;174098;1396110;78055;190137;228691;15998
5/14/20;174478;1423727;81997;203165;229540;16096
5/15/20;175233;1449027;85784;220291;230183;16148
5/16/20;175752;1474128;90648;233511;230698;16202
5/17/20;176369;1493132;95698;241080;230698;16226
5/18/20;176551;1514901;100328;255368;231606;16259
5/19/20;177778;1535350;106475;271885;232037;16287
5/20/20;178473;1559157;112028;291579;232555;16321
5/21/20;179021;1584512;118226;310087;233037;16362
5/22/20;179710;1608653;124794;330890;234824;16385
5/23/20;179986;1630476;131423;347398;235290;16410
5/24/20;180328;1651289;138536;363211;235772;16451
5/25/20;180600;1670280;144950;374898;235400;16472
5/26/20;181200;1689163;150793;391222;236259;16502
5/27/20;181524;1707445;158086;411821;236259;16528
