COUNTRY;Value
World;7594270356
Afghanistan;37172386
Albania;2866376
Algeria;42228429
American Samoa;55465
Andorra;77006
Angola;30809762
Antigua and Barbuda;96286
Argentina;44494502
Armenia;2951776
Aruba;105845
Australia;24982688
Austria;8840521
Azerbaijan;9939800
Bahamas, The;385640
Bahrain;1569439
Bangladesh;161356039
Barbados;286641
Belarus;9483499
Belgium;11433256
Belize;383071
Benin;11485048
Bermuda;63973
Bhutan;754394
Bolivia;11353142
Bosnia and Herzegovina;3323929
Botswana;2254126
Brazil;209469333
British Virgin Islands;29802
Brunei Darussalam;428962
Bulgaria;7025037
Burkina Faso;19751535
Burundi;11175378
Cabo Verde;543767
Cambodia;16249798
Cameroon;25216237
Canada;37057765
Cayman Islands;64174
Central African Republic;4666377
Chad;15477751
Channel Islands;170499
Chile;18729160
China;1392730000
Colombia;49648685
Comoros;832322
Congo, Dem. Rep.;84068091
Congo, Rep.;5244363
Costa Rica;4999441
Cote d'Ivoire;25069229
Croatia;4087843
Cuba;11338138
Curacao;159800
Cyprus;1189265
Czech Republic;10629928
Denmark;5793636
Djibouti;958920
Dominica;71625
Dominican Republic;10627165
Ecuador;17084357
Egypt, Arab Rep.;98423595
El Salvador;6420744
Equatorial Guinea;1308974
Estonia;1321977
Eswatini;1136191
Ethiopia;109224559
Faroe Islands;48497
Fiji;883483
Finland;5515525
France;66977107
French Polynesia;277679
Gabon;2119275
Gambia, The;2280102
Georgia;3726549
Germany;82905782
Ghana;29767108
Gibraltar;33718
Greece;10731726
Greenland;56025
Grenada;111454
Guam;165768
Guatemala;17247807
Guinea;12414318
Guinea-Bissau;1874309
Guyana;779004
Haiti;11123176
Honduras;9587522
Hong Kong SAR, China;7451000
Hungary;9775564
Iceland;352721
India;1352617328
Indonesia;267663435
Iran, Islamic Rep.;81800269
Iraq;38433600
Ireland;4867309
Isle of Man;84077
Israel;8882800
Italy;60421760
Jamaica;2934855
Japan;126529100
Jordan;9956011
Kazakhstan;18272430
Kenya;51393010
Kiribati;115847
Korea, Dem. People’s Rep.;25549819
Korea, Rep.;51606633
Kosovo;1845300
Kuwait;4137309
Kyrgyz Republic;6322800
Lao PDR;7061507
Latvia;1927174
Lebanon;6848925
Lesotho;2108132
Liberia;4818977
Libya;6678567
Liechtenstein;37910
Lithuania;2801543
Luxembourg;607950
Macao SAR, China;631636
Madagascar;26262368
Malawi;18143315
Malaysia;31528585
Maldives;515696
Mali;19077690
Malta;484630
Marshall Islands;58413
Mauritania;4403319
Mauritius;1265303
Mexico;126190788
Micronesia, Fed. Sts.;112640
Moldova;2706049
Monaco;38682
Mongolia;3170208
Montenegro;622227
Morocco;36029138
Mozambique;29495962
Myanmar;53708395
Namibia;2448255
Nauru;12704
Nepal;28087871
Netherlands;17231624
New Caledonia;284060
New Zealand;4841000
Nicaragua;6465513
Niger;22442948
Nigeria;195874740
North Macedonia;2082958
Northern Mariana Islands;56882
Norway;5311916
Oman;4829483
Pakistan;212215030
Palau;17907
Panama;4176873
Papua New Guinea;8606316
Paraguay;6956071
Peru;31989256
Philippines;106651922
Poland;37974750
Portugal;10283822
Puerto Rico;3195153
Qatar;2781677
Romania;19466145
Russian Federation;144478050
Rwanda;12301939
Samoa;196130
San Marino;33785
Sao Tome and Principe;211028
Saudi Arabia;33699947
Senegal;15854360
Serbia;6982604
Seychelles;96762
Sierra Leone;7650154
Singapore;5638676
Sint Maarten (Dutch part);40654
Slovak Republic;5446771
Slovenia;2073894
Solomon Islands;652858
Somalia;15008154
South Africa;57779622
South Sudan;10975920
Spain;46796540
Sri Lanka;21670000
St. Kitts and Nevis;52441
St. Lucia;181889
St. Martin (French part);37264
St. Vincent and the Grenadines;110210
Sudan;41801533
Suriname;575991
Sweden;10175214
Switzerland;8513227
Syrian Arab Republic;16906283
Tajikistan;9100837
Tanzania;56318348
Thailand;69428524
Timor-Leste;1267972
Togo;7889094
Tonga;103197
Trinidad and Tobago;1389858
Tunisia;11565204
Turkey;82319724
Turkmenistan;5850908
Turks and Caicos Islands;37665
Tuvalu;11508
Uganda;42723139
Ukraine;44622516
United Arab Emirates;9630959
United Kingdom;66460344
US;326687501
Uruguay;3449299
Uzbekistan;32955400
Vanuatu;292680
Venezuela, RB;28870195
Vietnam;95540395
Virgin Islands (U.S.);106977
West Bank and Gaza;4569087
Yemen, Rep.;28498687
Zambia;17351822
Zimbabwe;14439018
